Order ID,Order Date,Customer ID,Customer Name,Product,Category,Sub-Category,Region,State,City,Quantity,Sales,Discount,Profit
ORD00055,2025-03-22,CUST1391,Customer 1635,Printer Paper,Office Supplies,Office Supplies - Printer Paper,South,Karnataka,Mysuru,8,1795.2,0.15,313.07
ORD00056,2025-06-30,CUST0878,Customer 0278,Desk,Furniture,Furniture - Desk,South,Karnataka,Mangaluru,1,19911.0,0.0,3717.7
ORD00057,2024-12-01,CUST0777,Customer 0570,Desk,Furniture,Furniture - Desk,East,Odisha,Cuttack,4,77084.48,0.12,10868.92
ORD00058,2025-07-06,CUST1600,Customer 1335,Bookshelf,Furniture,Furniture - Bookshelf,East,Odisha,Bhubaneswar,1,8954.36,0.08,1683.52
ORD00059,2025-09-28,CUST0235,Customer 1156,Laptop,Technology,Technology - Laptop,West,Maharashtra,Mumbai,3,172804.05,0.05,24259.08
ORD00060,2025-09-12,CUST0053,Customer 0639,Monitor,Technology,Technology - Monitor,North,Punjab,Ludhiana,2,25858.8,0.1,2163.03
ORD00061,2024-03-18,CUST1230,Customer 1650,Stapler,Office Supplies,Office Supplies - Stapler,South,Telangana,Hyderabad,4,619.2,0.1,150.48
ORD00062,2025-03-14,CUST0026,Customer 1740,Keyboard,Technology,Technology - Keyboard,East,Odisha,Rourkela,6,4419.0,0.25,195.78
ORD00063,2025-10-12,CUST1069,Customer 1333,Cabinet,Furniture,Furniture - Cabinet,East,Odisha,Cuttack,8,68088.4,0.15,7598.05
ORD00064,2025-08-29,CUST0178,Customer 0572,Table,Furniture,Furniture - Table,South,Tamil Nadu,Coimbatore,5,47288.0,0.08,9573.86
ORD00065,2025-11-15,CUST0666,Customer 0373,Desk,Furniture,Furniture - Desk,South,Telangana,Nizamabad,7,126161.0,0.0,27697.96
ORD00066,2024-10-13,CUST0176,Customer 0495,Desk,Furniture,Furniture - Desk,North,Punjab,Amritsar,5,27495.0,0.25,3253.9
ORD00067,2025-12-08,CUST0036,Customer 0191,Stapler,Office Supplies,Office Supplies - Stapler,South,Telangana,Hyderabad,8,2880.0,0.2,448.86
ORD00068,2024-11-09,CUST0872,Customer 1528,Desk,Furniture,Furniture - Desk,South,Telangana,Hyderabad,6,101281.5,0.25,8606.27
ORD00069,2024-10-04,CUST0395,Customer 0647,Pen Set,Office Supplies,Office Supplies - Pen Set,North,Haryana,Faridabad,5,1048.8,0.08,205.2
ORD00070,2025-05-10,CUST0607,Customer 0466,Mouse,Technology,Technology - Mouse,West,Maharashtra,Mumbai,5,7639.1,0.02,1417.9
ORD00071,2025-06-30,CUST1134,Customer 0599,Desk,Furniture,Furniture - Desk,North,Delhi,Rohini,3,47964.0,0.0,12372.01
ORD00072,2025-08-10,CUST0378,Customer 0106,Printer Paper,Office Supplies,Office Supplies - Printer Paper,South,Karnataka,Bengaluru,5,1960.0,0.2,304.27
ORD00073,2025-05-18,CUST1153,Customer 0623,Cabinet,Furniture,Furniture - Cabinet,East,West Bengal,Durgapur,2,12836.4,0.05,2110.76
ORD00074,2025-09-12,CUST0907,Customer 0609,Smartphone,Technology,Technology - Smartphone,East,Bihar,Gaya,4,167439.8,0.15,13988.11
ORD00075,2024-03-02,CUST0542,Customer 1353,Stapler,Office Supplies,Office Supplies - Stapler,North,Haryana,Panipat,2,938.4,0.08,221.5
ORD00076,2024-03-17,CUST1217,Customer 0963,Smartphone,Technology,Technology - Smartphone,West,Maharashtra,Nagpur,3,38696.25,0.15,3232.7
ORD00077,2024-10-16,CUST1614,Customer 1621,Office Chair,Furniture,Furniture - Office Chair,West,Gujarat,Vadodara,8,45381.76,0.08,9526.22
ORD00078,2025-07-11,CUST1693,Customer 0292,File Folder,Office Supplies,Office Supplies - File Folder,West,Gujarat,Ahmedabad,4,855.0,0.05,235.27
ORD00079,2025-08-05,CUST0623,Customer 1434,Laptop,Technology,Technology - Laptop,West,Gujarat,Vadodara,5,361522.0,0.02,56576.69
ORD00080,2025-09-04,CUST0053,Customer 0188,Bookshelf,Furniture,Furniture - Bookshelf,South,Tamil Nadu,Chennai,1,9748.64,0.12,1582.18
ORD00081,2025-08-13,CUST0906,Customer 0570,Mouse,Technology,Technology - Mouse,East,Bihar,Gaya,1,893.6,0.2,54.97
ORD00082,2024-04-03,CUST1373,Customer 0215,Keyboard,Technology,Technology - Keyboard,South,Telangana,Warangal,8,14450.0,0.15,1071.68
ORD00083,2024-10-22,CUST0181,Customer 0645,Tablet,Technology,Technology - Tablet,South,Telangana,Warangal,7,202954.5,0.25,-926.33
ORD00084,2024-01-02,CUST0741,Customer 1276,Bookshelf,Furniture,Furniture - Bookshelf,East,Odisha,Rourkela,8,86160.0,0.0,16801.77
ORD00085,2025-07-16,CUST0993,Customer 0249,Cabinet,Furniture,Furniture - Cabinet,East,West Bengal,Durgapur,3,34651.2,0.2,4867.38
ORD00086,2024-11-14,CUST1724,Customer 0233,Mouse,Technology,Technology - Mouse,West,Goa,Panaji,1,2029.58,0.02,278.0
ORD00087,2024-10-25,CUST0500,Customer 0936,Office Chair,Furniture,Furniture - Office Chair,West,Gujarat,Vadodara,5,47228.0,0.2,7009.56
ORD00088,2025-06-04,CUST1618,Customer 1750,Printer Paper,Office Supplies,Office Supplies - Printer Paper,South,Karnataka,Mangaluru,3,2034.48,0.02,490.51
ORD00089,2024-11-01,CUST0707,Customer 0681,Bookshelf,Furniture,Furniture - Bookshelf,North,Delhi,Dwarka,8,41177.6,0.2,4656.63
ORD00090,2024-07-12,CUST1589,Customer 0842,File Folder,Office Supplies,Office Supplies - File Folder,South,Tamil Nadu,Coimbatore,4,700.4,0.15,116.4
ORD00091,2025-01-30,CUST1209,Customer 0680,Tablet,Technology,Technology - Tablet,South,Telangana,Warangal,3,84690.0,0.0,11865.04
ORD00092,2024-01-16,CUST1601,Customer 0543,Monitor,Technology,Technology - Monitor,East,Bihar,Gaya,3,63936.9,0.05,6936.28
ORD00093,2024-12-02,CUST0074,Customer 1265,Table,Furniture,Furniture - Table,South,Telangana,Hyderabad,7,57052.8,0.2,7975.45
ORD00094,2024-04-02,CUST1422,Customer 0614,Smartphone,Technology,Technology - Smartphone,North,Delhi,Rohini,7,147153.86,0.02,22734.43
ORD00095,2025-01-02,CUST0844,Customer 1160,Laptop,Technology,Technology - Laptop,North,Delhi,Dwarka,6,417382.5,0.05,50935.61
ORD00096,2025-09-16,CUST1195,Customer 0294,Printer Paper,Office Supplies,Office Supplies - Printer Paper,West,Maharashtra,Mumbai,7,3651.48,0.08,824.55
ORD00097,2025-11-13,CUST0324,Customer 0152,Monitor,Technology,Technology - Monitor,North,Punjab,Amritsar,1,21820.5,0.1,2819.4
ORD00098,2025-12-07,CUST0788,Customer 1748,Bookshelf,Furniture,Furniture - Bookshelf,North,Haryana,Faridabad,5,51678.0,0.1,7283.36
ORD00099,2025-01-02,CUST1700,Customer 1349,Office Chair,Furniture,Furniture - Office Chair,West,Gujarat,Vadodara,5,74052.0,0.1,9386.47
ORD00100,2024-02-20,CUST0722,Customer 0449,Bookshelf,Furniture,Furniture - Bookshelf,East,Bihar,Muzaffarpur,8,63951.04,0.08,11803.14
ORD00101,2025-11-06,CUST1324,Customer 0081,Printer Paper,Office Supplies,Office Supplies - Printer Paper,North,Haryana,Panipat,3,1678.74,0.02,488.97
ORD00102,2024-05-14,CUST0360,Customer 0412,Cabinet,Furniture,Furniture - Cabinet,East,Bihar,Gaya,2,25819.2,0.12,4487.34
ORD00103,2024-10-06,CUST0605,Customer 1529,Keyboard,Technology,Technology - Keyboard,North,Haryana,Panipat,3,4204.8,0.2,409.51
ORD00104,2024-08-19,CUST0809,Customer 0029,Office Chair,Furniture,Furniture - Office Chair,South,Karnataka,Bengaluru,7,87046.96,0.12,10552.2
ORD00105,2025-11-19,CUST0761,Customer 0222,Table,Furniture,Furniture - Table,East,Odisha,Cuttack,5,61952.25,0.15,10116.39
ORD00106,2025-07-28,CUST1302,Customer 1688,Printer Paper,Office Supplies,Office Supplies - Printer Paper,South,Karnataka,Mangaluru,6,3102.24,0.08,737.75
ORD00107,2024-02-16,CUST0481,Customer 1101,Bookshelf,Furniture,Furniture - Bookshelf,South,Karnataka,Bengaluru,1,7188.8,0.2,570.0
ORD00108,2025-12-14,CUST1342,Customer 0203,Monitor,Technology,Technology - Monitor,South,Tamil Nadu,Madurai,7,187829.25,0.05,32557.03
ORD00109,2025-12-07,CUST0484,Customer 1752,Table,Furniture,Furniture - Table,South,Tamil Nadu,Chennai,6,41083.2,0.2,4337.39
ORD00110,2025-01-02,CUST0251,Customer 1737,Office Chair,Furniture,Furniture - Office Chair,North,Haryana,Panipat,1,10370.7,0.1,1453.81
ORD00111,2025-09-03,CUST0258,Customer 1612,Office Chair,Furniture,Furniture - Office Chair,West,Goa,Vasco,1,5128.64,0.12,684.6
ORD00112,2025-08-23,CUST0303,Customer 1616,Printer Paper,Office Supplies,Office Supplies - Printer Paper,East,Bihar,Patna,4,2450.88,0.08,520.28
ORD00113,2025-07-07,CUST0053,Customer 0270,Notebook,Office Supplies,Office Supplies - Notebook,North,Delhi,New Delhi,5,828.1,0.02,225.15
ORD00114,2024-01-17,CUST0863,Customer 1078,Tablet,Technology,Technology - Tablet,West,Goa,Margao,3,62085.0,0.0,8700.63
ORD00115,2025-01-05,CUST1260,Customer 0089,Mouse,Technology,Technology - Mouse,East,Odisha,Cuttack,2,3376.5,0.25,34.52
ORD00116,2024-02-01,CUST0222,Customer 1005,File Folder,Office Supplies,Office Supplies - File Folder,North,Punjab,Jalandhar,1,154.7,0.15,28.09
ORD00117,2025-09-14,CUST1297,Customer 1199,Stapler,Office Supplies,Office Supplies - Stapler,East,West Bengal,Durgapur,3,436.05,0.05,97.89
ORD00118,2024-10-28,CUST1438,Customer 0235,Pen Set,Office Supplies,Office Supplies - Pen Set,South,Telangana,Nizamabad,8,2434.4,0.15,378.39
ORD00119,2024-08-21,CUST1495,Customer 0195,File Folder,Office Supplies,Office Supplies - File Folder,West,Gujarat,Surat,7,817.6,0.2,124.19
ORD00120,2025-01-18,CUST0175,Customer 0191,Cabinet,Furniture,Furniture - Cabinet,North,Haryana,Faridabad,3,60387.6,0.02,10646.21
ORD00121,2024-03-02,CUST1790,Customer 1363,Office Chair,Furniture,Furniture - Office Chair,North,Delhi,Rohini,6,93944.76,0.02,18964.13
ORD00122,2024-12-26,CUST1345,Customer 0988,Office Chair,Furniture,Furniture - Office Chair,North,Haryana,Faridabad,2,21702.0,0.25,1291.68
ORD00123,2024-04-27,CUST1731,Customer 1149,Laptop,Technology,Technology - Laptop,North,Haryana,Faridabad,5,380070.4,0.08,57230.13
ORD00124,2025-12-11,CUST1562,Customer 0633,File Folder,Office Supplies,Office Supplies - File Folder,East,Bihar,Muzaffarpur,5,318.25,0.05,71.4
ORD00125,2025-08-02,CUST0063,Customer 0188,Bookshelf,Furniture,Furniture - Bookshelf,East,West Bengal,Kolkata,7,34181.0,0.05,7238.77
ORD00126,2025-04-09,CUST0665,Customer 1591,File Folder,Office Supplies,Office Supplies - File Folder,West,Gujarat,Surat,6,528.0,0.12,99.76
ORD00127,2024-06-10,CUST1356,Customer 0869,File Folder,Office Supplies,Office Supplies - File Folder,East,West Bengal,Kolkata,1,227.36,0.02,54.74
ORD00128,2024-08-08,CUST1389,Customer 1390,Table,Furniture,Furniture - Table,South,Tamil Nadu,Coimbatore,2,18113.5,0.15,1926.75
ORD00129,2025-02-08,CUST0433,Customer 1572,Stapler,Office Supplies,Office Supplies - Stapler,North,Delhi,New Delhi,1,113.16,0.08,23.78
ORD00130,2024-01-08,CUST0779,Customer 1091,Tablet,Technology,Technology - Tablet,North,Punjab,Ludhiana,8,248050.4,0.15,15268.89
ORD00131,2024-02-13,CUST1766,Customer 0642,Printer Paper,Office Supplies,Office Supplies - Printer Paper,North,Delhi,Dwarka,7,1450.4,0.2,280.93
ORD00132,2025-03-03,CUST0666,Customer 0352,Stapler,Office Supplies,Office Supplies - Stapler,South,Telangana,Nizamabad,5,756.5,0.15,112.85
ORD00133,2024-04-18,CUST0811,Customer 1783,Stapler,Office Supplies,Office Supplies - Stapler,North,Delhi,Dwarka,4,1166.2,0.15,220.9
ORD00134,2024-03-19,CUST1590,Customer 0716,Bookshelf,Furniture,Furniture - Bookshelf,West,Gujarat,Ahmedabad,2,19039.5,0.25,1104.53
ORD00135,2024-09-19,CUST1343,Customer 0155,Desk,Furniture,Furniture - Desk,West,Maharashtra,Mumbai,4,48203.0,0.05,10282.53
ORD00136,2025-08-16,CUST0140,Customer 0961,Mouse,Technology,Technology - Mouse,South,Tamil Nadu,Madurai,8,12129.92,0.12,922.8
ORD00137,2024-12-26,CUST0117,Customer 0756,Bookshelf,Furniture,Furniture - Bookshelf,North,Haryana,Gurugram,2,14536.0,0.2,1543.04
ORD00138,2025-06-03,CUST1514,Customer 0085,Office Chair,Furniture,Furniture - Office Chair,East,Bihar,Muzaffarpur,7,66050.25,0.25,7849.31
ORD00139,2025-05-02,CUST1715,Customer 0704,Table,Furniture,Furniture - Table,West,Gujarat,Vadodara,3,14431.2,0.2,1129.68
ORD00140,2025-12-25,CUST0326,Customer 0746,Notebook,Office Supplies,Office Supplies - Notebook,West,Maharashtra,Mumbai,8,1824.0,0.25,245.0
ORD00141,2025-11-26,CUST0194,Customer 1143,Bookshelf,Furniture,Furniture - Bookshelf,South,Tamil Nadu,Coimbatore,1,12615.68,0.12,1504.71
ORD00142,2025-11-03,CUST0290,Customer 0717,Stapler,Office Supplies,Office Supplies - Stapler,North,Punjab,Jalandhar,3,852.6,0.02,226.47
ORD00143,2024-03-27,CUST1373,Customer 1440,Cabinet,Furniture,Furniture - Cabinet,West,Goa,Vasco,5,76309.2,0.12,13663.53
ORD00144,2025-03-09,CUST0439,Customer 0700,File Folder,Office Supplies,Office Supplies - File Folder,East,Bihar,Muzaffarpur,6,337.92,0.12,63.77
ORD00145,2024-03-20,CUST1711,Customer 1513,Desk,Furniture,Furniture - Desk,West,Maharashtra,Mumbai,5,38677.5,0.25,4029.03
ORD00146,2025-09-03,CUST1419,Customer 1580,Notebook,Office Supplies,Office Supplies - Notebook,North,Haryana,Gurugram,7,1050.7,0.05,227.97
ORD00147,2025-01-08,CUST1606,Customer 0920,Printer Paper,Office Supplies,Office Supplies - Printer Paper,South,Karnataka,Mysuru,4,1717.2,0.1,403.87
ORD00148,2024-07-17,CUST0578,Customer 1594,Keyboard,Technology,Technology - Keyboard,West,Gujarat,Surat,6,16694.4,0.2,950.49
ORD00149,2025-09-11,CUST0985,Customer 1791,Table,Furniture,Furniture - Table,South,Karnataka,Bengaluru,3,52118.1,0.1,6732.32
ORD00150,2024-05-07,CUST1052,Customer 0302,Table,Furniture,Furniture - Table,East,Bihar,Muzaffarpur,5,30276.5,0.05,5277.9
ORD00151,2024-01-28,CUST0483,Customer 0791,Office Chair,Furniture,Furniture - Office Chair,West,Gujarat,Surat,7,34938.4,0.15,4809.64
ORD00152,2024-04-11,CUST0588,Customer 1700,Tablet,Technology,Technology - Tablet,West,Maharashtra,Pune,6,216206.7,0.05,24541.18
ORD00153,2024-01-06,CUST0307,Customer 1124,Desk,Furniture,Furniture - Desk,South,Tamil Nadu,Madurai,2,13719.6,0.1,1951.65
ORD00154,2024-08-31,CUST1309,Customer 1626,File Folder,Office Supplies,Office Supplies - File Folder,South,Karnataka,Mysuru,5,455.0,0.0,113.33
ORD00155,2025-09-03,CUST1472,Customer 0295,Stapler,Office Supplies,Office Supplies - Stapler,East,West Bengal,Durgapur,1,332.25,0.25,46.02
ORD00156,2024-09-03,CUST0739,Customer 0139,Cabinet,Furniture,Furniture - Cabinet,East,Bihar,Gaya,7,76399.82,0.02,16111.1
ORD00157,2024-02-14,CUST0732,Customer 1615,File Folder,Office Supplies,Office Supplies - File Folder,East,Odisha,Cuttack,7,976.5,0.1,229.27
ORD00158,2025-10-05,CUST0722,Customer 1119,Tablet,Technology,Technology - Tablet,West,Goa,Vasco,2,65612.8,0.12,4899.49
ORD00159,2025-10-08,CUST0938,Customer 0076,Desk,Furniture,Furniture - Desk,South,Telangana,Warangal,3,33568.92,0.02,7596.1
ORD00160,2024-11-19,CUST1113,Customer 0970,Desk,Furniture,Furniture - Desk,East,West Bengal,Kolkata,5,101524.0,0.15,17932.17
ORD00161,2024-02-18,CUST0895,Customer 0820,Office Chair,Furniture,Furniture - Office Chair,West,Gujarat,Surat,6,55718.88,0.02,12979.57
ORD00162,2025-05-23,CUST0170,Customer 1490,Stapler,Office Supplies,Office Supplies - Stapler,South,Tamil Nadu,Chennai,8,1848.0,0.25,210.37
ORD00163,2025-07-12,CUST1354,Customer 0606,Office Chair,Furniture,Furniture - Office Chair,South,Telangana,Hyderabad,5,50283.8,0.02,8820.06
ORD00164,2025-03-30,CUST0723,Customer 1260,Cabinet,Furniture,Furniture - Cabinet,South,Karnataka,Mangaluru,6,117906.0,0.0,28078.74
ORD00165,2025-10-14,CUST1392,Customer 0328,Bookshelf,Furniture,Furniture - Bookshelf,East,West Bengal,Siliguri,7,52248.0,0.25,5568.99
ORD00166,2024-03-09,CUST1162,Customer 0067,Smartphone,Technology,Technology - Smartphone,South,Karnataka,Bengaluru,4,201629.12,0.12,18745.87
ORD00167,2025-03-30,CUST0816,Customer 0644,Printer Paper,Office Supplies,Office Supplies - Printer Paper,South,Tamil Nadu,Coimbatore,2,1031.7,0.05,252.62
ORD00168,2024-07-09,CUST0242,Customer 0537,Pen Set,Office Supplies,Office Supplies - Pen Set,West,Maharashtra,Mumbai,8,2482.0,0.15,547.49
ORD00169,2025-12-11,CUST0152,Customer 0926,Cabinet,Furniture,Furniture - Cabinet,West,Goa,Margao,8,90622.56,0.02,16299.22
ORD00170,2024-11-23,CUST0615,Customer 1744,Mouse,Technology,Technology - Mouse,South,Karnataka,Mangaluru,6,2992.5,0.25,107.35
ORD00171,2024-08-17,CUST1012,Customer 0054,Mouse,Technology,Technology - Mouse,West,Gujarat,Vadodara,2,2323.7,0.05,282.19
ORD00172,2024-05-12,CUST1469,Customer 1473,Table,Furniture,Furniture - Table,North,Punjab,Jalandhar,2,10938.6,0.1,1715.75
ORD00173,2024-03-16,CUST1393,Customer 1060,Table,Furniture,Furniture - Table,South,Tamil Nadu,Madurai,3,29970.36,0.02,6143.86
ORD00174,2025-05-29,CUST0338,Customer 0332,Desk,Furniture,Furniture - Desk,West,Maharashtra,Pune,1,8301.0,0.25,454.41
ORD00175,2024-03-21,CUST1281,Customer 0621,Desk,Furniture,Furniture - Desk,North,Haryana,Faridabad,5,50370.0,0.25,3246.65
ORD00176,2024-06-21,CUST1155,Customer 0085,File Folder,Office Supplies,Office Supplies - File Folder,East,Bihar,Muzaffarpur,3,271.92,0.12,62.92
ORD00177,2024-09-28,CUST0063,Customer 1020,Laptop,Technology,Technology - Laptop,East,Bihar,Muzaffarpur,4,280483.0,0.15,27192.45
ORD00178,2025-05-09,CUST0150,Customer 1411,File Folder,Office Supplies,Office Supplies - File Folder,North,Haryana,Faridabad,4,904.4,0.15,154.92
ORD00179,2025-04-20,CUST1472,Customer 0654,Smartphone,Technology,Technology - Smartphone,South,Tamil Nadu,Coimbatore,4,141717.2,0.05,18069.88
ORD00180,2025-06-11,CUST0548,Customer 0921,Pen Set,Office Supplies,Office Supplies - Pen Set,South,Karnataka,Mysuru,2,483.92,0.08,108.07
